transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000106030,2024-03-16 19:56:56,Bill Payment,Fuel,4198,SUCCESS,36-45,26-35,Rajasthan,Kotak,PNB,Android,4G,0,19,Saturday,1
TXN0000012567,2024-11-30 08:54:41,P2P,Grocery,334,SUCCESS,18-25,36-45,Uttar Pradesh,PNB,Axis,Android,4G,0,8,Saturday,1
TXN0000246928,2024-12-19 08:29:25,Bill Payment,Utilities,246,SUCCESS,26-35,18-25,Andhra Pradesh,ICICI,Kotak,iOS,WiFi,0,8,Thursday,0
TXN0000058055,2024-08-29 12:00:03,Bill Payment,Transport,84,SUCCESS,26-35,26-35,Karnataka,IndusInd,IndusInd,Android,5G,0,12,Thursday,0
TXN0000169103,2024-03-22 22:57:15,P2P,Education,3014,SUCCESS,36-45,18-25,Rajasthan,SBI,HDFC,Web,4G,0,22,Friday,0
TXN0000135387,2024-10-25 20:48:13,P2P,Shopping,550,SUCCESS,36-45,18-25,Tamil Nadu,Kotak,Kotak,Android,4G,0,20,Friday,0
TXN0000015962,2024-07-14 18:33:54,Recharge,Food,91,SUCCESS,26-35,26-35,Uttar Pradesh,Kotak,SBI,Android,3G,0,18,Sunday,1
TXN0000055748,2024-01-28 23:04:06,P2M,Other,172,SUCCESS,26-35,36-45,Tamil Nadu,Yes Bank,HDFC,iOS,4G,0,23,Sunday,1
TXN0000068207,2024-04-26 17:14:50,P2P,Grocery,689,SUCCESS,36-45,36-45,Uttar Pradesh,SBI,SBI,Android,5G,0,17,Friday,0
TXN0000019346,2024-06-13 17:03:36,P2M,Transport,292,SUCCESS,18-25,36-45,Rajasthan,HDFC,SBI,Android,5G,0,17,Thursday,0
TXN0000232984,2024-11-22 09:07:52,P2M,Shopping,2116,SUCCESS,46-55,36-45,Karnataka,SBI,HDFC,Android,4G,0,9,Friday,0
TXN0000115785,2024-12-05 12:14:32,Bill Payment,Other,103,SUCCESS,26-35,18-25,Tamil Nadu,Axis,Yes Bank,Android,5G,0,12,Thursday,0
TXN0000180585,2024-09-13 17:46:42,P2P,Grocery,1041,SUCCESS,46-55,36-45,Karnataka,Axis,Yes Bank,Android,4G,0,17,Friday,0
TXN0000091407,2024-03-17 19:16:44,P2P,Transport,122,SUCCESS,18-25,18-25,Tamil Nadu,Yes Bank,SBI,Android,4G,0,19,Sunday,1
TXN0000075391,2024-02-14 08:26:26,P2P,Food,128,SUCCESS,26-35,36-45,Andhra Pradesh,SBI,Yes Bank,Android,5G,0,8,Wednesday,0
TXN0000092228,2024-02-26 13:15:49,P2P,Other,425,SUCCESS,18-25,18-25,West Bengal,Axis,IndusInd,Android,WiFi,0,13,Monday,0
TXN0000186515,2024-07-11 21:11:12,P2P,Grocery,274,SUCCESS,56+,18-25,Andhra Pradesh,ICICI,SBI,Android,5G,0,21,Thursday,0
TXN0000008177,2024-11-04 17:03:26,P2M,Food,370,SUCCESS,18-25,26-35,Uttar Pradesh,Axis,IndusInd,Android,WiFi,0,17,Monday,0
TXN0000164811,2024-11-22 13:56:27,P2P,Food,84,SUCCESS,36-45,36-45,Rajasthan,Yes Bank,Kotak,Android,5G,0,13,Friday,0
TXN0000154321,2024-01-20 20:46:56,Bill Payment,Grocery,240,SUCCESS,36-45,26-35,Karnataka,Axis,Yes Bank,Android,4G,0,20,Saturday,1
TXN0000113208,2024-10-18 19:09:06,P2M,Transport,171,SUCCESS,26-35,36-45,Tamil Nadu,IndusInd,PNB,iOS,5G,0,19,Friday,0
TXN0000220011,2024-02-29 12:56:19,Bill Payment,Shopping,281,SUCCESS,18-25,18-25,Karnataka,SBI,ICICI,Android,4G,0,12,Thursday,0
TXN0000090600,2024-01-02 11:24:26,P2P,Fuel,2269,SUCCESS,56+,18-25,Telangana,SBI,IndusInd,Android,4G,0,11,Tuesday,0
TXN0000230731,2024-05-08 12:39:12,P2P,Food,568,SUCCESS,26-35,18-25,Karnataka,IndusInd,Yes Bank,Web,4G,0,12,Wednesday,0
TXN0000196090,2024-09-27 21:48:22,P2P,Grocery,1061,SUCCESS,18-25,26-35,Maharashtra,Axis,Kotak,Android,4G,0,21,Friday,0
TXN0000089805,2024-01-14 12:36:13,P2M,Fuel,1306,SUCCESS,26-35,18-25,Tamil Nadu,SBI,ICICI,Android,4G,0,12,Sunday,1
TXN0000080951,2024-06-10 20:46:57,P2P,Shopping,4446,SUCCESS,18-25,18-25,West Bengal,Yes Bank,Kotak,Android,5G,0,20,Monday,0
TXN0000125517,2024-01-13 14:32:11,P2P,Education,3121,SUCCESS,26-35,26-35,Delhi,PNB,SBI,Android,4G,0,14,Saturday,1
TXN0000010199,2024-03-26 16:25:05,P2M,Food,162,SUCCESS,36-45,26-35,Maharashtra,IndusInd,SBI,Android,4G,0,16,Tuesday,0
TXN0000068841,2024-04-19 06:21:51,P2M,Education,638,SUCCESS,46-55,36-45,Maharashtra,Kotak,IndusInd,iOS,4G,0,6,Friday,0
TXN0000131272,2024-06-23 14:31:28,P2M,Food,103,SUCCESS,26-35,26-35,Maharashtra,HDFC,ICICI,Android,4G,0,14,Sunday,1
TXN0000116477,2024-09-02 13:37:24,P2M,Food,93,SUCCESS,36-45,36-45,West Bengal,ICICI,Kotak,iOS,4G,0,13,Monday,0
TXN0000104560,2024-05-16 18:51:50,P2P,Utilities,1727,FAILED,26-35,36-45,Karnataka,SBI,PNB,Android,3G,0,18,Thursday,0
TXN0000241270,2024-10-05 11:25:16,P2P,Transport,880,SUCCESS,26-35,18-25,Uttar Pradesh,Yes Bank,IndusInd,Android,5G,0,11,Saturday,1
TXN0000029355,2024-10-28 12:55:19,P2M,Fuel,775,SUCCESS,18-25,46-55,Karnataka,IndusInd,IndusInd,Android,WiFi,0,12,Monday,0
TXN0000146422,2024-02-17 11:51:14,P2M,Transport,59,FAILED,18-25,26-35,Delhi,PNB,Kotak,Android,4G,0,11,Saturday,1
TXN0000131136,2024-04-11 11:23:18,Recharge,Utilities,3155,SUCCESS,26-35,18-25,Maharashtra,SBI,SBI,Android,4G,0,11,Thursday,0
TXN0000100362,2024-03-22 23:26:08,P2P,Grocery,2878,SUCCESS,36-45,18-25,Maharashtra,SBI,Yes Bank,Android,4G,0,23,Friday,0
TXN0000218423,2024-12-25 11:15:30,P2M,Shopping,162,SUCCESS,56+,18-25,Uttar Pradesh,ICICI,SBI,Android,5G,0,11,Wednesday,0
TXN0000003824,2024-01-31 21:21:51,P2P,Utilities,212,SUCCESS,18-25,36-45,Andhra Pradesh,IndusInd,Axis,iOS,4G,0,21,Wednesday,0
TXN0000168911,2024-10-28 19:33:40,P2M,Fuel,2131,SUCCESS,46-55,18-25,Delhi,SBI,Axis,iOS,4G,0,19,Monday,0
TXN0000160578,2024-08-20 11:38:19,P2P,Entertainment,127,SUCCESS,26-35,36-45,Andhra Pradesh,Axis,Kotak,Android,4G,0,11,Tuesday,0
TXN0000075238,2024-03-05 09:05:14,Bill Payment,Transport,193,SUCCESS,18-25,36-45,Telangana,Yes Bank,IndusInd,Android,4G,0,9,Tuesday,0
TXN0000131354,2024-09-20 13:36:19,Bill Payment,Healthcare,341,SUCCESS,26-35,18-25,Uttar Pradesh,IndusInd,SBI,Android,4G,0,13,Friday,0
TXN0000100278,2024-05-24 17:17:09,P2P,Transport,548,SUCCESS,18-25,18-25,Tamil Nadu,Axis,HDFC,Android,5G,0,17,Friday,0
TXN0000004052,2024-04-26 11:23:03,P2P,Utilities,1970,SUCCESS,18-25,26-35,Uttar Pradesh,SBI,SBI,Android,3G,0,11,Friday,0
TXN0000049406,2024-06-30 11:52:16,P2M,Grocery,567,SUCCESS,18-25,26-35,Karnataka,IndusInd,ICICI,Android,5G,0,11,Sunday,1
TXN0000178368,2024-12-15 20:53:57,P2M,Food,101,SUCCESS,36-45,18-25,Maharashtra,PNB,Yes Bank,Android,5G,0,20,Sunday,1
TXN0000035522,2024-02-19 17:29:52,Recharge,Grocery,465,SUCCESS,46-55,26-35,Gujarat,Yes Bank,SBI,iOS,5G,0,17,Monday,0
TXN0000100109,2024-08-21 18:35:45,P2M,Entertainment,1110,SUCCESS,36-45,18-25,Maharashtra,ICICI,Kotak,Android,5G,0,18,Wednesday,0
TXN0000195521,2024-10-18 15:48:14,P2P,Grocery,7033,SUCCESS,36-45,46-55,Maharashtra,HDFC,ICICI,Android,4G,0,15,Friday,0
TXN0000157026,2024-05-25 20:54:19,P2M,Grocery,387,SUCCESS,26-35,26-35,Uttar Pradesh,IndusInd,Axis,Android,4G,0,20,Saturday,1
TXN0000201115,2024-06-01 13:02:03,P2M,Food,3007,SUCCESS,18-25,36-45,Karnataka,Yes Bank,Kotak,Android,4G,0,13,Saturday,1
TXN0000221921,2024-02-17 13:07:56,P2P,Shopping,4670,SUCCESS,36-45,56+,Andhra Pradesh,Axis,ICICI,Android,WiFi,0,13,Saturday,1
TXN0000065059,2024-02-23 13:50:50,Recharge,Shopping,3273,SUCCESS,26-35,26-35,Karnataka,Axis,ICICI,iOS,4G,0,13,Friday,0
TXN0000026306,2024-12-15 17:28:57,Bill Payment,Grocery,279,SUCCESS,18-25,18-25,Telangana,HDFC,Yes Bank,Android,3G,0,17,Sunday,1
TXN0000042694,2024-01-14 20:20:34,P2M,Fuel,574,SUCCESS,36-45,56+,Telangana,PNB,Axis,Web,4G,0,20,Sunday,1
TXN0000129031,2024-09-13 19:37:06,Bill Payment,Shopping,372,SUCCESS,46-55,18-25,West Bengal,Kotak,SBI,Android,4G,0,19,Friday,0
TXN0000214519,2024-07-10 20:29:16,P2P,Shopping,4715,SUCCESS,46-55,18-25,Uttar Pradesh,Yes Bank,IndusInd,Android,4G,0,20,Wednesday,0
TXN0000142409,2024-02-19 13:04:50,P2M,Entertainment,189,SUCCESS,18-25,18-25,Uttar Pradesh,IndusInd,ICICI,iOS,4G,0,13,Monday,0
TXN0000090369,2024-12-16 19:17:52,P2P,Transport,47,SUCCESS,56+,56+,Tamil Nadu,Kotak,SBI,Android,3G,0,19,Monday,0
TXN0000247619,2024-06-19 12:41:09,P2P,Healthcare,657,FAILED,46-55,46-55,West Bengal,Yes Bank,PNB,Android,4G,0,12,Wednesday,0
TXN0000134801,2024-09-19 19:04:13,P2M,Other,764,SUCCESS,26-35,26-35,Tamil Nadu,IndusInd,HDFC,Android,WiFi,0,19,Thursday,0
TXN0000110742,2024-10-25 20:28:52,P2P,Healthcare,840,SUCCESS,36-45,18-25,Uttar Pradesh,PNB,SBI,Android,WiFi,0,20,Friday,0
TXN0000121795,2024-07-09 18:22:49,P2P,Fuel,1955,SUCCESS,26-35,26-35,West Bengal,HDFC,PNB,Android,5G,0,18,Tuesday,0
TXN0000228374,2024-08-19 09:42:24,P2M,Food,620,SUCCESS,26-35,18-25,Telangana,PNB,SBI,Web,5G,0,9,Monday,0
TXN0000033257,2024-05-03 16:26:43,Bill Payment,Food,181,SUCCESS,26-35,56+,Tamil Nadu,IndusInd,SBI,iOS,5G,0,16,Friday,0
TXN0000230865,2024-09-27 12:44:47,P2P,Other,1655,SUCCESS,36-45,46-55,Maharashtra,Axis,Kotak,Android,4G,0,12,Friday,0
TXN0000005603,2024-09-04 16:46:09,P2M,Other,1697,SUCCESS,26-35,36-45,Karnataka,SBI,Axis,Android,5G,0,16,Wednesday,0
TXN0000022318,2024-06-03 19:57:51,Bill Payment,Utilities,4178,SUCCESS,36-45,18-25,Karnataka,ICICI,Kotak,Android,WiFi,0,19,Monday,0
TXN0000035464,2024-06-04 17:59:50,P2M,Education,12339,SUCCESS,26-35,56+,Gujarat,ICICI,HDFC,iOS,4G,0,17,Tuesday,0
TXN0000156541,2024-11-04 12:24:36,P2P,Other,183,SUCCESS,46-55,18-25,Uttar Pradesh,Yes Bank,HDFC,Android,4G,0,12,Monday,0
TXN0000162000,2024-11-21 12:10:12,Bill Payment,Utilities,1775,SUCCESS,26-35,18-25,Uttar Pradesh,HDFC,SBI,iOS,4G,0,12,Thursday,0
TXN0000198140,2024-03-15 20:39:54,Bill Payment,Shopping,1570,SUCCESS,46-55,18-25,Telangana,IndusInd,Axis,iOS,4G,0,20,Friday,0
TXN0000135684,2024-04-15 13:12:56,Recharge,Shopping,1984,SUCCESS,56+,56+,Telangana,HDFC,HDFC,Android,4G,0,13,Monday,0
TXN0000221609,2024-08-15 21:51:08,P2M,Fuel,1381,SUCCESS,26-35,26-35,Delhi,Yes Bank,Yes Bank,Android,WiFi,0,21,Thursday,0
TXN0000059726,2024-02-06 14:57:03,P2P,Grocery,1503,SUCCESS,26-35,46-55,Maharashtra,HDFC,Yes Bank,iOS,5G,0,14,Tuesday,0
TXN0000239381,2024-03-07 12:34:26,Recharge,Utilities,849,SUCCESS,18-25,18-25,West Bengal,ICICI,PNB,Android,5G,0,12,Thursday,0
TXN0000238759,2024-06-04 15:37:32,P2P,Utilities,185,SUCCESS,18-25,56+,Rajasthan,HDFC,HDFC,iOS,4G,0,15,Tuesday,0
TXN0000064414,2024-01-01 06:01:37,P2P,Grocery,211,SUCCESS,36-45,18-25,Rajasthan,SBI,ICICI,iOS,4G,0,6,Monday,0
TXN0000133219,2024-06-12 23:46:15,P2P,Transport,78,SUCCESS,56+,26-35,Gujarat,ICICI,SBI,Android,5G,0,23,Wednesday,0
TXN0000242996,2024-01-13 23:01:44,P2P,Shopping,222,SUCCESS,56+,26-35,Karnataka,IndusInd,PNB,Android,4G,0,23,Saturday,1
TXN0000016958,2024-12-15 19:37:03,P2P,Utilities,4394,SUCCESS,26-35,26-35,Uttar Pradesh,HDFC,SBI,Android,4G,0,19,Sunday,1
TXN0000045704,2024-02-26 06:51:52,P2P,Healthcare,1058,SUCCESS,18-25,36-45,Maharashtra,SBI,SBI,iOS,4G,0,6,Monday,0
TXN0000104430,2024-08-24 21:18:45,P2M,Utilities,2287,SUCCESS,18-25,26-35,West Bengal,SBI,ICICI,Android,4G,0,21,Saturday,1
TXN0000029820,2024-02-03 11:28:41,P2P,Utilities,3914,SUCCESS,36-45,26-35,Andhra Pradesh,Yes Bank,SBI,Android,WiFi,0,11,Saturday,1
TXN0000188436,2024-11-09 20:19:06,P2P,Utilities,1388,SUCCESS,36-45,18-25,Delhi,ICICI,SBI,Android,3G,0,20,Saturday,1
TXN0000136272,2024-07-25 15:11:51,P2P,Grocery,466,SUCCESS,36-45,18-25,Maharashtra,HDFC,IndusInd,Android,4G,0,15,Thursday,0
TXN0000024311,2024-12-14 14:30:39,P2M,Utilities,4064,SUCCESS,26-35,36-45,Maharashtra,Kotak,PNB,Android,5G,0,14,Saturday,1
TXN0000015910,2024-05-16 22:33:21,Bill Payment,Other,490,SUCCESS,36-45,36-45,Karnataka,Axis,HDFC,Android,4G,0,22,Thursday,0
TXN0000001046,2024-07-29 22:28:58,P2M,Grocery,1779,SUCCESS,26-35,26-35,Rajasthan,PNB,IndusInd,Android,4G,0,22,Monday,0
TXN0000104893,2024-03-27 18:49:55,P2P,Grocery,283,SUCCESS,46-55,36-45,Karnataka,ICICI,PNB,iOS,4G,0,18,Wednesday,0
TXN0000107454,2024-11-14 16:05:49,P2P,Transport,80,SUCCESS,26-35,18-25,Gujarat,Yes Bank,PNB,Android,5G,0,16,Thursday,0
TXN0000246464,2024-11-17 14:17:50,P2P,Healthcare,187,SUCCESS,18-25,26-35,Delhi,HDFC,ICICI,Android,4G,0,14,Sunday,1
TXN0000188289,2024-05-19 00:00:02,P2P,Grocery,3816,SUCCESS,26-35,18-25,Telangana,SBI,IndusInd,Android,3G,0,0,Sunday,1
TXN0000091804,2024-04-26 14:09:52,Bill Payment,Grocery,779,SUCCESS,26-35,36-45,Maharashtra,Yes Bank,Yes Bank,Android,4G,0,14,Friday,0
TXN0000234833,2024-10-07 18:13:09,P2P,Shopping,623,SUCCESS,56+,36-45,Gujarat,HDFC,Axis,Android,5G,0,18,Monday,0
TXN0000230750,2024-08-13 12:01:31,Bill Payment,Food,154,SUCCESS,26-35,18-25,Uttar Pradesh,PNB,Yes Bank,Android,WiFi,0,12,Tuesday,0
TXN0000229411,2024-10-21 21:42:24,P2P,Other,503,SUCCESS,18-25,36-45,Delhi,PNB,HDFC,iOS,4G,0,21,Monday,0
TXN0000037900,2024-06-27 14:38:46,P2P,Food,351,SUCCESS,26-35,18-25,Delhi,IndusInd,SBI,Web,4G,0,14,Thursday,0
TXN0000059095,2024-07-01 21:46:17,P2P,Other,1372,SUCCESS,18-25,36-45,Maharashtra,ICICI,Yes Bank,Android,3G,0,21,Monday,0
TXN0000173264,2024-03-04 13:52:23,P2P,Grocery,211,SUCCESS,18-25,26-35,Uttar Pradesh,HDFC,PNB,iOS,5G,0,13,Monday,0
